SMILES,Internal_ID,RAT_PPB,dset,group,fold,chemprop,lgbm_morgan,tabpfn
CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,Mol2,0.268343914,train,random,0,,,
CN(c1ncc(F)cn1)[C@H]1CCCNC1,Mol3,2.0,train,random,0,,,
CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,Mol4,-1.403402904,train,random,0,,,
CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,Mol5,1.092264361,train,random,0,,,
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,Mol6,-0.639532816,train,random,0,,,
CC(C)NCC(O)COc1cccc2ccccc12,Mol7,1.347759218,train,random,0,,,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,Mol9,-0.35853,train,random,0,,,
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,Mol10,-0.504455662,train,random,0,,,
COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,Mol12,1.626076768,train,random,0,,,
CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,Mol13,-0.325138859,train,random,0,,,
CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1,Mol14,-0.055517328,train,random,0,,,
Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,Mol15,-0.68613278,train,random,0,,,
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,Mol16,1.615139594,train,random,0,,,
N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,Mol17,1.072507236,train,random,0,,,
CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,Mol18,1.388207807,train,random,0,,,
Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,Mol20,0.631443769,train,random,0,,,
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,Mol21,1.74597993,train,random,0,,,
