canonical_smiles,molregno,standard_value,compound_key,assay_id,standard_type,standard_units,doc_id,pchembl_value,doi,scaffold
CCCCc1ccc(C)c(N/C=N/O)c1,166049,94000.0,3c,51930,IC50,nM,4568,4.03,10.1016/s0960-894x(01)00614-x,c1cc([*:1])c([*:2])c([*:3])c1CCCC[*:4]
CCCCCCc1ccc(N/C=N/O)cc1,166196,50000.0,3h,51930,IC50,nM,4568,4.3,10.1016/s0960-894x(01)00614-x,c1cc([*:1])c([*:2])c([*:3])c1CCCC[*:4]
CCCCc1ccc(N/C=N/O)cc1,166306,65000.0,3g,51930,IC50,nM,4568,4.19,10.1016/s0960-894x(01)00614-x,c1cc([*:1])c([*:2])c([*:3])c1CCCC[*:4]
CCCCc1ccc(/N=C/NO)c(C)c1,186431,71000.0,3a (HET0016),51930,IC50,nM,4568,4.15,10.1016/s0960-894x(01)00614-x,c1cc([*:1])c([*:2])c([*:3])c1CCCC[*:4]
CCCCc1ccccc1/N=C/NO,166168,51000.0,3d,51930,IC50,nM,4568,4.29,10.1016/s0960-894x(01)00614-x,c1cc([*:1])c([*:2])c([*:3])c1CCCC[*:4]
CN(C)CCCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,140211,17000.0,22,44705,IC50,nM,5045,4.77,10.1016/s0960-894x(02)00473-0,Cn1cc(Cc2cn(CC(=O)N(Cc3ccc(-c4ccc([*:1])cc4)cc3)C[*:2])c(SCc3ccc(F)cc3)nc2=O)cn1
Cn1cc(Cc2cn(CC(=O)N(CC(=O)O)Cc3ccc(-c4ccc(C(F)(F)F)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,140912,31000.0,28,44705,IC50,nM,5045,4.51,10.1016/s0960-894x(02)00473-0,Cn1cc(Cc2cn(CC(=O)N(Cc3ccc(-c4ccc([*:1])cc4)cc3)C[*:2])c(SCc3ccc(F)cc3)nc2=O)cn1
Cn1cc(Cc2cn(CC(=O)N(CCN)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,140586,15000.0,15,44705,IC50,nM,5045,4.82,10.1016/s0960-894x(02)00473-0,Cn1cc(Cc2cn(CC(=O)N(Cc3ccc(-c4ccc([*:1])cc4)cc3)C[*:2])c(SCc3ccc(F)cc3)nc2=O)cn1
Cn1cc(Cc2cn(CC(=O)N(CCO)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,141798,19000.0,9,44705,IC50,nM,5045,4.72,10.1016/s0960-894x(02)00473-0,Cn1cc(Cc2cn(CC(=O)N(Cc3ccc(-c4ccc([*:1])cc4)cc3)C[*:2])c(SCc3ccc(F)cc3)nc2=O)cn1
CN(C)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,141296,8000.0,12,44705,IC50,nM,5045,5.1,10.1016/s0960-894x(02)00473-0,Cn1cc(Cc2cn(CC(=O)N(Cc3ccc(-c4ccc([*:1])cc4)cc3)C[*:2])c(SCc3ccc(F)cc3)nc2=O)cn1
CN1CCN(CCCN(Cc2ccc(-c3ccc(Cl)cc3)cc2)C(=O)Cn2cc(Cc3cnn(C)c3)c(=O)nc2SCc2ccc(F)cc2)CC1,141018,10000.0,26,44705,IC50,nM,5045,5.0,10.1016/s0960-894x(02)00473-0,Cn1cc(Cc2cn(CC(=O)N(Cc3ccc(-c4ccc([*:1])cc4)cc3)C[*:2])c(SCc3ccc(F)cc3)nc2=O)cn1
CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,140588,5000.0,13,44705,IC50,nM,5045,5.3,10.1016/s0960-894x(02)00473-0,Cn1cc(Cc2cn(CC(=O)N(Cc3ccc(-c4ccc([*:1])cc4)cc3)C[*:2])c(SCc3ccc(F)cc3)nc2=O)cn1
Cn1cc(Cc2cn(CC(=O)N(CCN3CCCCC3)Cc3ccc(-c4ccc(C(F)(F)F)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,141799,10000.0,34,44705,IC50,nM,5045,5.0,10.1016/s0960-894x(02)00473-0,Cn1cc(Cc2cn(CC(=O)N(Cc3ccc(-c4ccc([*:1])cc4)cc3)C[*:2])c(SCc3ccc(F)cc3)nc2=O)cn1
Cn1cc(Cc2cn(CC(=O)N(CCN3CCCC3)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,140557,6000.0,17,44705,IC50,nM,5045,5.22,10.1016/s0960-894x(02)00473-0,Cn1cc(Cc2cn(CC(=O)N(Cc3ccc(-c4ccc([*:1])cc4)cc3)C[*:2])c(SCc3ccc(F)cc3)nc2=O)cn1
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2c[nH]c3ncnc-3c2)c1,280337,4000.0,27t,51901,IC50,nM,5374,5.4,10.1016/s0960-894x(02)00026-4,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCC[*:1])c1
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]nnc3c2)c1,280210,7500.0,27kk,51901,IC50,nM,5374,5.12,10.1016/s0960-894x(02)00026-4,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCC[*:1])c1
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]cnc3c2)c1,280738,100.0,27v,51901,IC50,nM,5374,7.0,10.1016/s0960-894x(02)00026-4,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCC[*:1])c1
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2cccc3cnccc23)c1,281041,1000.0,27k,51902,IC50,nM,5374,6.0,10.1016/s0960-894x(02)00026-4,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCC[*:1])c1
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3ncoc3c2)c1,280567,1000.0,27y,51902,IC50,nM,5374,6.0,10.1016/s0960-894x(02)00026-4,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCC[*:1])c1
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3cccnc3)o2)C[C@H]1C(=O)NCC(F)(F)F,2038629,440.0,5,51907,IC50,nM,5668,6.36,10.1016/s0960-894x(03)00475-x,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc([*:1])o2)C[C@H]1C(=O)NCC(F)(F)F
