Name,SMILES,BSEP,HERG,BBB,PDK1,HIVPRO
50775606,CCOC(N1CCC(=C2c(nccc3)c3CCc(cc(Cl)cc4)c24)CC1)=O,1,1,1,,
50753667,CSc1cc(N(CCC2N(C)CCCC2)c(cccc3)c3S4)c4cc1,1,1,1,,
50753625,OC1(c2ccc(Cl)cc2)CCN(CCCC(c3ccc(F)cc3)=O)CC1,1,1,1,,
50739573,CC(N1CCN(c2ccc(OCC3OC(c4c(Cl)cc(Cl)cc4)(Cn5cncc5)OC3)cc2)CC1)=O,1,1,0,,
50754140,C(C1NCCCC1)C(C2CCCCC2)C3CCCCC3,1,1,,,
50777112,CCCCc1n(Cc2ccc(c3c(c4n[nH]nn4)cccc3)cc2)c(CO)c(Cl)n1,1,1,,,
50754506,CCOC(C(C(c1c(Cl)cccc1)C(C(OC)=O)=C(C)N2)=C2COCCN)=O,1,1,,,
50739699,COc1c(C(NCCc2ccc(S(NC(NC3CCCCC3)=O)(=O)=O)cc2)=O)cc(Cl)cc1,1,0,0,,
50753489,CCCc1c2c(C(=O)NC(c3c(OCC)ccc(S(N4CCN(C)CC4)(=O)=O)c3)=N2)n(C)n1,1,0,,,
50777195,CC(SCC(C(NCC(OCc1ccccc1)=O)=O)Cc2ccccc2)=O,1,,1,,
50375447,CCC(N(CCOc1ccccc1)C(=O)N2CCCN3CCN(c4cc(Cl)ccc4)CC3)=N2,1,,1,,
50754509,CCCN(C(Cc1n(cc(Cl)cc2)c2nc1c3ccc(Cl)cc3)=O)CCC,1,,1,,
50739536,CNC(C[N+]([O-])=C(c1ccccc1)c(cc(Cl)cc2)c23)=N3,1,,1,,
50777006,COc1c(OCCCN2CCC(c3c(ccc(F)c4)c4on3)CC2)ccc(C(=O)C)c1,1,,1,,
50753274,COc1c(OC)c(C(=O)OC2C3c(c(OC)c(OCO4)c4c5)c5CCN3C)c2cc1,1,,1,,
50754110,COc1c(OC)cc(CCN(CCCC(c2cc(OC)c(OC)cc2)(C(C)C)C#N)C)cc1,1,,1,,
50754095,OC1(c2cc(C(F)(F)F)ccc2)CCN(CCCC(c3ccc(F)cc3)=O)CC1,1,,1,,
50739100,CCC(N1C(=O)N(c2ccc(N3CCN(c4ccc(OCC5OC(c6c(Cl)cc(Cl)cc6)(Cn7ncnc7)OC5)cc4)CC3)cc2)C=N1)C,1,,0,,
51350495,CCCCc1n(Cc2ccc(c3c(c4[nH]nnn4)cccc3)cc2)c(CO)c(Cl)n1,1,,0,,
50739354,CCCCc1c(C(c2cc(I)c(OCCN(CC)CC)c(I)c2)=O)c(cccc3)c3o1,1,,0,,
50775465,CCOC(C(C(c1cc([N+](=O)[O-])ccc1)C(C(OC)=O)=C(C)N2)=C2C)=O,1,,0,,
