split,dataset,task,roc_auc,pr_auc,mcc
random,data/BSEP000,ST,0.8521367521367521,0.6761189477959211,0.5511845638483326
scaffold,data/BSEP000,ST,0.9,0.5565452892910323,0.48323543280318704
random,data/BSEP001,ST,0.8393162393162393,0.6167884943432661,0.5511845638483326
scaffold,data/BSEP001,ST,0.768888888888889,0.558193468445182,0.3919831548048891
random,data/BSEP002,ST,0.8615384615384616,0.7600514300919428,0.5988494716163424
scaffold,data/BSEP002,ST,0.6917808219178082,0.4294959723420132,0.22333164500641248
random,data/BSEP003,ST,0.8777777777777778,0.5372253693895906,0.44976591388118475
scaffold,data/BSEP003,ST,0.7589285714285715,0.6068924448359749,0.5714021611066425
random,data/BSEP004,ST,0.8991452991452992,0.6189080613099753,0.41402654457262844
scaffold,data/BSEP004,ST,0.9516460905349795,0.864979808343966,0.6822882392210131
random,data/BSEP005,ST,0.9606837606837607,0.8902425346238733,0.8352011587694046
scaffold,data/BSEP005,ST,0.7816455696202531,0.5115859808740308,0.5637441167091122
random,data/BSEP006,ST,0.8444444444444444,0.665340680719213,0.44976591388118475
scaffold,data/BSEP006,ST,0.8794642857142858,0.6791610915353827,0.48555350339875736
random,data/BSEP007,ST,0.8495726495726496,0.6476684263114966,0.5397678652217938
scaffold,data/BSEP007,ST,0.884920634920635,0.734218682110173,0.5282705437953743
random,data/BSEP008,ST,0.8102564102564103,0.5868625621080481,0.44976591388118475
scaffold,data/BSEP008,ST,0.8019891500904159,0.49740506918177474,0.3357954086484712
random,data/BSEP009,ST,0.870940170940171,0.660204314830504,0.4798473330259153
scaffold,data/BSEP009,ST,0.7791607396870555,0.5794051724358029,0.41522062410315375
