Name,abl1,akt1,akt2,braf,cdk2,csf1r,dyr,egfr,fak1,fgfr1,igf1r,jak2,kif11,kit,kith,kpcb,lck,mapk2,met,mk01,mk10,mk14,mp2k1,plk1,rock1,src,tgfr1,vgfr2,wee1
abl1,100.0,20.424403183023873,20.866489832007073,23.0565371024735,17.168141592920357,19.152691968225948,12.47787610619469,18.93877551020408,20.121951219512198,23.368606701940035,20.64186725018235,15.12532411408816,18.65148861646235,19.152691968225948,18.672566371681416,21.750663129973475,21.061946902654867,18.672566371681416,20.588235294117645,17.61061946902655,20.884955752212388,18.230088495575224,20.159151193633953,22.654867256637168,19.70479704797048,21.68141592920354,20.79646017699115,20.79353416605437,21.858407079646017
akt1,20.424403183023873,100.0,81.12033195020747,23.10704960835509,25.571725571725572,21.91358024691358,20.833333333333336,20.66115702479339,21.19771863117871,22.74939172749392,19.092904169714703,21.73144876325088,21.685606060606062,22.64344262295082,20.416666666666668,32.93768545994065,15.953307392996107,25.963488843813387,19.266714593817397,22.291666666666668,15.132924335378323,22.245322245322246,22.88659793814433,21.15702479338843,19.35007385524372,18.51851851851852,15.324165029469548,19.469026548672566,21.450617283950617
akt2,20.866489832007073,81.12033195020747,100.0,23.237597911227155,25.051759834368532,21.810699588477366,19.95841995841996,20.743801652892564,21.38783269961977,21.776155717761558,19.01975128017557,21.113074204946997,21.59090909090909,21.721311475409834,20.95435684647303,33.72781065088758,17.91907514450867,27.070707070707073,18.69158878504673,24.380165289256198,17.44421906693712,23.140495867768596,22.587268993839835,21.22719734660033,19.12850812407681,19.408502772643253,15.157480314960631,19.542772861356934,21.483771251931994
braf,23.0565371024735,23.10704960835509,23.237597911227155,100.0,20.365535248041773,23.15573770491803,15.796344647519584,23.476112026359143,22.485768500948765,23.021582733812952,22.830051057622175,21.908127208480565,22.264150943396228,22.290388548057262,21.409921671018274,19.896640826873384,26.623376623376622,22.845953002610965,22.66187050359712,21.279373368146214,22.685788787483702,20.757180156657963,22.97650130548303,22.395833333333336,22.287822878228784,26.36363636363636,24.348958333333336,23.451327433628318,20.208604954367665
cdk2,17.168141592920357,25.571725571725572,25.051759834368532,20.365535248041773,100.0,18.72427983539095,23.411371237458194,16.115702479338843,17.490494296577946,19.34306569343066,14.996342355523042,16.431095406360424,17.424242424242426,18.545081967213115,21.808510638297875,21.460506706408346,21.807465618860512,24.129353233830848,14.820143884892087,33.795013850415515,28.96995708154507,33.791208791208796,27.455919395465994,23.0514096185738,14.623338257016247,22.94776119402985,21.47117296222664,15.339233038348082,20.588235294117645
csf1r,19.152691968225948,21.91358024691358,21.810699588477366,23.15573770491803,18.72427983539095,100.0,13.991769547325102,22.15815485996705,16.777251184834125,30.111902339776197,24.89051094890511,20.14072119613017,18.820224719101123,41.41012909632572,20.37037037037037,22.016460905349795,25.925925925925924,19.753086419753085,25.606276747503564,19.54732510288066,21.39917695473251,19.958847736625515,20.473251028806587,23.14814814814815,21.418020679468242,25.617283950617285,22.22222222222222,30.425219941348974,22.22222222222222
dyr,12.47787610619469,20.833333333333336,19.95841995841996,15.796344647519584,23.411371237458194,13.991769547325102,100.0,12.314049586776859,13.212927756653992,15.693430656934307,11.485003657644477,12.897526501766784,13.636363636363635,13.62704918032787,22.22222222222222,17.2876304023845,19.646365422396855,21.0,10.93525179856115,21.38888888888889,19.612068965517242,22.5,20.865139949109416,18.24212271973466,10.782865583456426,19.402985074626866,18.886679920477135,11.35693215339233,16.718266253869967
egfr,18.93877551020408,20.66115702479339,20.743801652892564,23.476112026359143,16.115702479338843,22.15815485996705,12.314049586776859,100.0,18.996710526315788,25.103220478943022,21.77361211247296,18.174409127954362,19.325657894736842,22.01154163231657,18.429752066115704,23.305785123966942,21.80016515276631,17.93388429752066,20.544022906227628,18.09917355371901,20.24793388429752,18.09917355371901,18.760330578512395,21.487603305785125,19.750367107195302,22.213047068538398,20.99173553719008,20.396184886280263,21.90082644628099
fak1,20.121951219512198,21.19771863117871,21.38783269961977,22.485768500948765,17.490494296577946,16.777251184834125,13.212927756653992,18.996710526315788,100.0,21.27255460588794,21.824817518248175,19.544259421560035,17.598533455545372,17.96801505174036,19.676806083650188,22.24334600760456,22.2011385199241,20.322886989553655,22.453371592539455,19.011406844106464,21.367521367521366,18.8212927756654,21.082621082621085,22.338403041825096,21.976401179941004,21.292775665399237,21.38783269961977,21.575846833578794,22.433460076045627
fgfr1,23.368606701940035,22.74939172749392,21.776155717761558,23.021582733812952,19.34306569343066,30.111902339776197,15.693430656934307,25.103220478943022,21.27255460588794,100.0,25.237746891002192,22.62323943661972,22.138126773888363,29.71887550200803,22.26277372262774,23.832335329341316,27.73722627737226,21.532846715328464,23.741007194244602,21.41119221411192,22.871046228710462,21.289537712895378,22.019464720194648,22.114216281895505,22.895125553914326,28.484848484848484,22.62773722627737,30.808823529411768,21.21212121212121
igf1r,20.64186725018235,19.092904169714703,19.01975128017557,22.830051057622175,14.996342355523042,24.89051094890511,11.485003657644477,21.77361211247296,21.824817518248175,25.237746891002192,100.0,22.836363636363636,22.132943754565375,24.525547445255473,16.67885881492319,20.99487929773226,20.54093567251462,17.62984637893197,23.208191126279864,16.605705925384054,18.2882223847842,16.605705925384054,17.117776152158008,20.760233918128655,16.452074391988557,20.906432748538013,19.092904169714703,18.785310734463277,20.848573518653986
